"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"March 10, 2016","Vidant Health","Greenville, North Carolina","HACK","MED","897","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure other. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 10, 2016","Karmanos Cancer Center","Farmington Hills, Michigan","PORT","MED","2,808","Unknown","As reported by Health and Human Services loss/other portable electronic device. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 11, 2016","Virtua Medical Group","Evesham Township, New Jersey","HACK","MED","1,654","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure network server. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 11, 2016","Vibrant Body Wellness","Berkeley, California","PORT","MED","726","Unknown","As reported by Health and Human Services theft/laptop, other portable electronic device. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 14, 2016","JASACare","New York, New York","HACK","MED","1,154","Unknown","""March 15th, 2016:  JASACare, a licensed home care services provider, 
experienced a breach of its email system, resulting in the potential 
exposure of patient and employee information. 
On January 29th, 2016, the email account of a JASACare staff member was 
accessed illegally by individuals outside of JASACare. The unauthorized 
individuals had access to the account for less than two hours over the 
course of a single day. JASACare believes that the individuals accessed 
the account in an attempt to make an illegal transfer of JASACare’s 
funds to the individual(s) bank account.""More Information: http://www.jasa.org/news/jasacare-experiences-breach-of-its-email-system...As reported by Health and Human Services Hacking/IT incident. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 15, 2016","Laborers Fund Administrative Office of Northern California, Inc. ","Fairfield, California","DISC","MED","2,373","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 17, 2016","W. Christopher Bryant DDS PC","Grand Rapids, Michigan","PORT","MED","2,200","Unknown","As reported by Health and Human Services Loss/ther portable electronic device. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 17, 2016","Hospital fo Special Surgery","New York, New York","HACK","MED","647","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 18, 2016","Lindsay House Surgery Center, LLC","Rochester, New York","PHYS","MED","773","Unknown","As reported by Health and Human Services theft/paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 18, 2016","Val Verde Regional Medical Center","Del Rio, Texas","HACK","MED","2,000","Unknown","As reported by Health and Human Services hacking/IT incident/desktop computer/electronic medical records/email/laptop/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 21, 2016","National Counseling Group","Richmond, Virginia","HACK","MED","23,000","Unknown","As reported by Health and Human Services hacking/IT incident/email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 22, 2016","Metropolitan Jewish Health System, Inc. d/b/a MJHS","Brooklyn, New York","HACK","MED","2,483","Unknown","As reported by Health and Human Services hacking/IT incident/email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 23, 2016","Excel Plus Home Health, Inc.","Plano, Texas","PORT","MED","524","Unknown","As reported by Health and Human Services theft/desktop computer,other portable electronic device. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 24, 2016","Morton Medical Center","Morton, Washington","HACK","MED","3,000","Unknown","As reported by Health and Human Services hacking/IT incident/destop computer/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 1, 2016","Pointe Medical Services, Inc.","Orange Park, Florida","PORT","MED","2,000","Unknown","As reported by Health and Human Services theft/desktop computer, other portable electronic device. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 1, 2016","Einstein Healthcare Network","Philadelphia, Pennsylvania","DISC","MED","2,939","Unknown","As reported by Health and Human Services unauthorized access/disclosure other. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 5, 2016","Sisters of Charity of Leavenworth Health System Health Benefits","Broomfield, Colorado","DISC","MED","540","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 5, 2016","Target Corporation Health Plan","Minneapolis, Minnesota","DISC","MED","719","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 5, 2016","Pacific Gas and Electric","San Diego, California","DISC","MED","2,426","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 7, 2016","RMA Medical Centers of Florida","Pembroke Pines, Florida","PORT","MED","3,906","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 7, 2016","Indian Health Service Northern Navajo Medical Center","Shiprock, New Mexico","DISC","MED","7,421","Unknown","As reported by Health and Human Services unauthorized access/theft
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 12, 2016","Mark Anthony Quintero M.D, LLC","Miami, Florida","HACK","MED","650","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 12, 2016","Sacred Heart Health System, Inc.","Pensacola, Florida","DISC","MED","532","Unknown","As reported by Health and Human Services unauthorized access/disclosure other. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 12, 2016","OptumRx, Inc. ","Carlsbad, California","PORT","MED","6,229","Unknown","As reported by Health and Human Services theft/laptop/email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 12, 2016","United Community & Famiy Services","Norwich, Connecticut","HACK","MED","1,000","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 13, 2016","Florida Department of Health","Tallahassee, Florida","DISC","MED","1,076","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 15, 2016","Oneida Tribe of Indians of Wisconsin","Green Bay, Wisconsin","PORT","MED","2,734","Unknown","As reported by Health and Human Services theft/desktop computer/other portable electronic device. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 15, 2016","Vail Clinic, Inc. dba Vail Valley Medical Center and dbs Howard Head Sports Medicine","Vail, Colorado","HACK","MED","1,506","Unknown","As reported by Health and Human Services unauthorized access/disclosure laptop/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 18, 2016","Florida Hospital Medical Group","Orlando, Florida","HACK","MED","1,906","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 19, 2016","Quarles & Brady, LLP","Madison, Wisconsin","PORT","MED","1,032","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 20, 2016","Lake Pulmonary Critical Care PA","Tavares, Florida","PORT","MED","648","Unknown","As reported by Health and Human Services theft
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 20, 2016","Wyoming Medical Center","Casper, Wyoming","HACK","MED","3,184","Unknown","As reported by Health and Human Services hacking/IT incident/email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 22, 2016","Kaiser Foundation Health Plan, Inc.","Oakland, California","PHYS","MED","2,451","Unknown","As reported by Health and Human Services theft/paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 22, 2016","Edwin Shaw Rehabilitation","Akron, Ohio","PHYS","MED","975","Unknown","As reported by Health and Human Services loss/other. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 22, 2016","Ohio Department of Mental Health and Addiction Services","Columbus, Ohio","DISC","MED","59,000","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

More Information: http://mha.ohio.gov/Portals/0/assets/News/pressReleases/20160422-Media-N...","Government Agency",""
"April 23, 2016","Mayfield Clinic Inc. ","Cincinnati, Ohio","HACK","MED","23,341","Unknown","As reported by Health and Human Services hacking/IT incident/email/network server.  No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 27, 2016","Family & Children's Services of Mid-Michigan","Midland, Michigan","HACK","MED","981","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 29, 2016","Pruitt Home Health","Florence, South Carolina","DISC","MED","1,500","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 1, 2016","Managed Health Services","Indianapollis, Indiana","DISC","MED","610","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 4, 2016","Florida Medical Clinic","Land O Lakes, Florida","DISC","MED","1,000","Unknown","As reported by Health and Human Services unauthorized access/disclosure electronic medical records. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 4, 2016","UnitedHealthcare Group Single Affiliated Covered Entity","Minneapolis, Minnesota","DISC","MED","5,330","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 9, 2016","Lafayette Pain Care PC","Lafayette, Indiana","HACK","MED","7,500","Unknown","As reported by Health and Human Services hacking/IT incident/unauthorized access/disclosure/network server/electronic medical records. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 11, 2016","Unity Point Health","West Des Moines, Iowa","DISC","MED","1,620","Unknown","As reported by Health and Human Services unauthorized access/disclosure electronic medical records. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 11, 2016","Family Medicine of Weston","Weston, Florida","HACK","MED","500","Unknown","As reported by Health and Human Services hacking/IT incident/electronic medical records. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 11, 2016","Medical Colleagues of Texas, LLP","Katy, Texas","HACK","MED","68,631","68,631","""Hackers breached the computer network of a doctors' group in Katy, 
potentially accessing upward of 50,000 medical records and personnel 
files, a lawyer for the practice said Wednesday.
    
    
""It's a large number of records,"" said Dallas attorney Lindsay Nickle, who represents the group, Medical Colleagues of Texas.
Computer forensics experts were called in after an office employee at
 the family practice and obstetrics group noticed unusual activity on 
March 8 and it was determined the system had been hacked, Medical 
Colleagues of Texas said. The breached information could include names, 
addresses, health insurance information and Social Security numbers.""More Information: http://www.houstonchronicle.com/business/medical/article/Data-breach-rep...Total number of records breached provided health and human servicesMore Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF... ","Media",""
"May 12, 2016","Employee Benefits Division","Little Rock, Arkansas","DISC","MED","2,602","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"May 11, 2016","Northwest Oncology & Hematology, S.C.","Elk Grove, Illinois","DISC","MED","1,625","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 28, 2016","Northstar Healthcare Acquisitions LLC","Houson, Texas","PORT","MED","19,898","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 16, 2016","Surgical Care Affiliates","Birmingham, Alabama","PORT","MED","9,009","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"May 17, 2016","San Juan County New Mexico","Aztec, New Mexico","HACK","MED","12,500","Unknown","As reported by Health and Human Services hacking/IT incident/desktop computer. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"May 19, 2016","Emergency Room Associates dba- Emergency Medicine Associates","Tuscon, Arizona","PHYS","MED","1,067","Unknown","As reported by Health and Human Services theft
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"May 20, 2016","Tallahassee Memorial HealthCare, Inc","Tallahassee, Florida","HACK","MED","505","Unknown","As reported by Health and Human Services hacking/IT incident other. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"May 24, 2016","Melanie Witte (counsel for Berkeley Endocrine Clinic)","Berkeley, California","DISC","MED","1,370","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 8, 2016","WalMart Stores, Inc.","Bentonville, Arkansas","DISC","MED","27,393","Unknown","As reported by Health and Human Services unauthorized access/disclosure paper films. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 7, 2016","Grace Primary Care, PC","Huntsville, Tennessee","HACK","MED","6,853","Unknown","As reported by Health and Human Services hacking/IT incident/network. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 3, 2016","The Vein Doctor","Liberty, Missouri","HACK","MED","3,000","Unknown","As reported by Health and Human Services hacking/IT incident/electronic medical records, network server. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 3, 2016","The University of New Mexico","Albuquerque, New Mexico","DISC","MED","2,827","Unknown","As reported by Health and Human Services unauthorized access/disclosure paper films. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 7, 2016","Vincent Vein Center","Grand Junction, Colorado","HACK","MED","2,250","2,250","This breach appears to be part of the third party vendor, Bizmatic breach. Bizmatic provides EMR/EHR software to 15,000 customers in the medical industry. The media report specifically states that Vincent Vein Centers breach included Social Security numbers as part of the breach. More Information: http://www.healthcare-informatics.com/news-item/cybersecurity/close-1500...As reported by Health and Human Services hacking/IT incident/electronic medical record. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"April 11, 2016","Pain Treatment Centers of America/Interventional Surgery Institute","Little Rock, Arkansas","HACK","MED","19,397","19,397","This breach appears to be part of the third party vendor, Bizmatic 
breach. Bizmatic provides EMR/EHR software to 15,000 customers in the 
medical industry. The media report and letter released by the company specifically states that Pain Treatment Centers/Interventional Surgery Institute breach included Social Security numbers as part of the breach. More Information: http://www.ptcoa.com/wp-content/uploads/2016/04/HIPAA-Security-Notificat...More Information:
 
http://www.healthcare-informatics.com/news-item/cybersecurity/close-1500...As reported by Health and Human Services hacking/IT incident/electronic medical records/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"May 25, 2016","Integrated Health Solutions PC","Easton, Pennsylvania","HACK","MED","19,776","19,776","This specific breach, as reported, is part of a larger breach of the company Bizmatics which provides EHR/EMR software solutions to 15,000 healthcare providers. ""The company has not disclosed exactly how many of its clients were 
affected by the breach, although a number of healthcare providers have 
now issued breach notifications to patients and have informed the 
Department of Health and Human Services’ Office for Civil Rights of the 
breach.""Integrated Health Solutions is telling its members that names, addresses, Social Security numbers and health visit information may have been compromised. More Information: http://www.hipaajournal.com/integrated-health-solutions-notifies-20k-pat...As reported by Health and Human Services hacking/IT 
incident/electronic medical records, network server. No specific 
information as to what information was compromised as provided by health
 and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Media",""
"May 25, 2016","Stamford Podiatry Group PC","Stamford, Connecticut","HACK","MED","40,491","40,491","""Connecticut-based Stamford Podiatry Group is notifying patients that 
medical and personal information was compromised in a recent security 
incident. 
How many victims? 40,491
What type of information? Names, medical history and treatment
 information, name, social security numbers, dates of birth, gender, 
marital status, addresses, phone numbers, email addresses, names of 
treating and referring doctors, and insurance coverage information were 
all compromised in the breach.
What happened? On April 14 officials discovered that an 
unauthorized individual had covert access to the group's systems 
including its electronic database between February 22 and April 14.""More Information: http://www.scmagazine.com/data-of-40000-stamford-podiatry-group-patients...As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF... ","Media",""
"May 26, 2016","Orchid MPS Holdings, LLC/Welfare Benefit Plan","Holt, Missouri","DISC","MED","771","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"May 31, 2016","Washington DC VA Medical Center","Washington, District Of Columbia","PHYS","MED","1,062","Unknown","As reported by Health and Human Services theft/paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 1, 2016","Allen Dell P.A.","Tampa, Florida","HACK","BSO","2,500","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 1, 2016","ENT & Allergy Center","Fayetteville, Arkansas","HACK","MED","16,200","Unknown","This specific breach, as reported, is part of a larger breach of the company
Bizmatics which provides EHR/EMR software solutions to 15,000 healthcare
providers. 

""The company has not disclosed exactly how many of its clients were
affected by the breach, although a number of healthcare providers have now
issued breach notifications to patients and have informed the Department of
Health and Human Services’ Office for Civil Rights of the breach.""

This specific breach, as reported, is part of a larger breach of the company
Bizmatics which provides EHR/EMR software solutions to 15,000 healthcare
providers. 

""The company has not disclosed exactly how many of its clients were
affected by the breach, although a number of healthcare providers have now
issued breach notifications to patients and have informed the Department of
Health and Human Services’ Office for Civil Rights of the breach.""

More Information: http://www.hipaajournal.com/integrated-health-solutions-notifies-20k-pat...As reported by Health and Human Services hacking/IT incident/electronic medical records. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...Statment from company: http://entnwa.com/patient-resources/patient-forms/","Government Agency",""
"May 5, 2016","Southeast Eye Institute, P.A. dba-Eye associates of Pinellas","Pinellas Park, Florida","HACK","MED","87,314","87,314","This specific breach, as reported, is part of a larger breach of the company
Bizmatics which provides EHR/EMR software solutions to 15,000 healthcare
providers. ""The Southeast Eye Institute, P.A., in Florida, doing business under 
the name the Eye Associates of Pinellas, reported a possible data breach
 after an unauthorized individual gained access to patient data via a 
third party affiliate.  
How many victims? 87,314
What type of information? Names, addresses, telephone numbers,
 Social Security numbers, dates of birth, and insurance information may 
have all been compromised. 
What happened? On March 30, 2016, The Southeast Eye Institute 
was notified that a third-party breach at the medical practice software 
provider Bizmatics may have compromised the information of “at least 
some” of the institute's patients. Officials said the breach occurred in
 January 2015 but they did not immediately become aware of the incident.
 Bizmatics was unable to determine which patients' information was 
accessed and if the unauthorized individual was able to collate the 
various data files.""More Information: http://www.scmagazine.com/the-southeast-eye-institute-patient-informatio...","Media",""
"January 4, 2016","Regional Income Tax Agency","Brecksville, Ohio","PHYS","BSF","50,000","50,000","""The Regional Income Tax Agency
 announced Dec. 31 that nearly two months earlier it lost personal data 
for about 50,000 people who filed tax forms with the agency.
A backup DVD with the information cannot be located, according to RITA. The agency says it will provide one-year of free credit monitoring to those affected.
""Nothing in our investigation indicates that the DVD was stolen, or 
that there has been any misuse of information,"" agency attorney Amy L. 
Arrighi said today. ""Our investigation to locate the missing DVD led us 
to the conclusion that it was most likely destroyed."" More Information: http://www.cleveland.com/metro/index.ssf/2016/01/rita_loses_personal_inf...","Media",""
"January 7, 2016","Indiana University Health Arnett Hospital","Lafayette, Indiana","PORT","MED","29,000","Unknown","""Indiana University Health’s Arnett Hospital has alerted 
29,324 patients about the potential exposure of their Protected Health 
Information after an unencrypted flash drive disappeared from its 
emergency department.
The flash drive was discovered to be missing on November 20, 2015, 
and an investigation was immediately launched. Efforts are continuing to
 try to locate the missing flash drive, which was lost in an area of the
 hospital not accessible to the public. Consequently, hospital officials
 do not believe patient data have been acquired or viewed by an external
 third party.
IU Health Arnett Hospital started sending breach notification letters
 to affected patients last week to inform them that some of their PHI 
has potentially been compromised. However, no reports of inappropriate 
use of the data have so far been received by the hospital.
The flash drive was not used to store Social Security numbers, 
financial information, or credit card numbers, although spreadsheets 
saved on the device included patient names, medical record numbers, 
dates of birth, and medical diagnoses.""More Information: http://www.hipaajournal.com/iu-health-security-breach-29k-8252/","Media",""
"January 7, 2016","Fidelis Care","Rego Park, New York","DISC","MED","738","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"January 14, 2016","St. Lukes Cornwall Hospital","Newburgh, New York","PORT","MED","29,156","Unknown","""St. Luke’s Cornwall Hospital has issued a media announcement 
providing further information on the 29,156-record data breach that 
occurred on October 31, 2015. The hospital has explained that the breach
 occurred when an unidentified individual entered a restricted area of 
the hospital and stole a thumb drive containing a limited amount of 
patient data.
The device was unencrypted and contained patient names, medical 
record numbers, details of imaging services provided, and the dates of 
patient visits. Some administration information was also stored on the 
thumb drive, although no financial information, insurance details, 
health information, or Social Security numbers were compromised.""More Information: http://www.hipaajournal.com/st-lukes-cornwall-hospital-notifies-29k-pati...","Media",""
"June 20, 2016","GoToMyPC","Santa Clara, California","HACK","BSO","Unknown","Unknown","""GoToMyPC, a service that helps people access and 
control their computers remotely over the Internet, is forcing all users
 to change their passwords, citing a spike in attacks that target people
 who re-use passwords across multiple sites.""""John Bennett, product line director at Citrix, said 
once the company learned about the attack it took immediate action. But 
contrary to previous published reports, there is no indication Citrix or
 its platforms have been compromised, he said.
“Citrix can confirm the recent incident was a password re-use attack,
 where attackers used usernames and passwords leaked from other websites
 to access the accounts of GoToMyPC users,” Bennett wrote in an emailed 
statement. “At this time, the response includes a mandatory password 
reset for all GoToMyPC users. Citrix encourages customers to visit the  
GoToMyPC status page to learn about enabling two-step verification, and to use strong passwords in order to keep accounts as safe as possible. ”More Information: http://krebsonsecurity.com/category/data-breaches/","Krebs On Security",""
